Sample,Treatment,Replicate,Sex,Time since eclosed,Exp.Round,Time_Numeric,Status,Mean DNA concentration
E.001 ,control,E,M,24h,1,48.21666667,Remove,
E.002,control,E,M,24h,1,51.41666667,Remove,
E.003,control,E,M,24h,1,44.41666667,Remove,
E.004,control,E,M,48h,1,57.63333333,Use,5.85
E.005,control,E,M,48h,1,39.65,Use,2.76
E.006,control,E,M,48h,1,42.36666667,Use,4.145
E.007,control,E,F,48h,1,47.21666667,Use,6.15
E.008,control,E,M,48h,1,44.65,Use,2.36
E.009,control,E,F,48h,1,41.48333333,Use,4.795
E.010,control,E,F,48h,1,43.08333333,Use,5.8
E.011,control,E,F,48h,1,59.4,Use,3.69
E.012,control,E,F,48h,1,59.95,Use,3.62
E.013,control,E,M,48h,1,54.96666667,Use,3.96
E.014,control,E,M,48h,1,NA,Use,3.94
E.015,control,E,F,48h,1,58.33333333,Use,4.785
E.016,control,E,M,24h,1,46.3,Remove,
E.017,control,E,F,48h,1,53.56666667,Remove,
E.018,control,E,F,48h,1,49.91666667,Use,3.025
E.019,control,E,F,48h,1,51.56666667,Use,1.86
E.020,control,E,F,48h,1,47.51666667,Use,3.91
E.021,control,E,M,48h,1,44.66666667,Use,2.32
E.022,control,E,F,48h,1,55.93333333,Use,1.475
E.023,control,E,F,48h,1,57,Use,4.145
E.024,control,E,F,48h,1,46.88333333,Use,4.24
E.025,control,E,F,48h,1,58.25,Use,5.2
E.026,control,E,F,48h,1,45.33333333,Use,1.595
E.027,control,E,F,48h,1,40.91666667,Use,2.68
E.028,control,E,F,48h,1,41.1,Use,4.99
E.029,control,E,F,24h,1,49.31666667,Remove,
E.030,control,E,M,24h,1,55.33333333,Remove,
E.031,control,E,F,24h,1,71.55,Remove,
F.001,control,F,M,48h,1,NA,Remove,
F.002,control,F,M,48h,1,54.73333333,Use,5.09
F.003,control,F,M,48h,1,66.1,Use,3.73
F.004,control,F,M,48h,1,62.66666667,Use,1.895
F.005,control,F,M,48h,1,66.45,Use,3.565
F.006,control,F,F,24h,1,47.6,Remove,
F.007,control,F,M,24h,1,52.38333333,Remove,
F.008,control,F,M,48h,1,58.93333333,Use,3.65
F.009,control,F,M,48h,1,55.3,Use,3.94
F.010,control,F,F,48h,1,61.13333333,Use,5.075
F.011,control,F,M,48h,1,51.46666667,Use,4.05
F.012,control,F,M,48h,1,59.05,Use,4.64
F.013,control,F,M,48h,1,47.36666667,Use,3.545
F.014,control,F,M,48h,1,49.13333333,Use,2.43
F.015,control,F,M,48h,1,57.5,Use,3.76
F.016,control,F,F,48h,1,47.88333333,Use,4.915
F.017,control,F,M,48h,1,51.73333333,Use,4.36
F.018,control,F,F,48h,1,54.38333333,Use,2.375
F.019,control,F,F,48h,1,67.46666667,Use,3.745
F.020,control,F,M,48h,1,47.61666667,Use,2.32
F.021,control,F,M,48h,1,54.41666667,Use,1.65
F.022,control,F,F,48h,1,52.8,Use,2.13
F.023,control,F,M,48h,1,48.21666667,Use,1.99
F.024,control,F,M,48h,1,63.33333333,Use,3.085
F.025,control,F,F,48h,1,49.03333333,Use,2.745
F.026,control,F,M,48h,1,48.58333333,Use,4.59
F.027,control,F,M,48h,1,47.61666667,Use,3.405
F.028,control,F,F,48h,1,54.96666667,Use,2.38
F.029,control,F,F,48h,1,41.91666667,Use,3.095
F.030,control,F,F,48h,1,53.73333333,Use,3.82
F.031,control,F,F,48h,1,43.46666667,Use,6.775
F.032,control,F,F,48h,1,57.38333333,Use,4.34
F.033,control,F,F,24h,1,48.63333333,Remove,
F.034,control,F,F,24h,1,49.91666667,Remove,
F.035,control,F,F,48h,1,50.65,Use,5.625
F.036,control,F,F,48h,1,39.66666667,Use,3.755
F.037,control,F,M,48h,1,44.23333333,Use,4.32
F.038,control,F,F,48h,1,41.73333333,Use,5.9
G.001,high temp,G,M,24h,1,45.08333333,Remove,
G.002,high temp,G,F,24h,1,58.98333333,Remove,
G.003,high temp,G,F,48h,1,41.85,Use,3.41
G.004,high temp,G,F,48h,1,52.33333333,Use,3.35
G.005,high temp,G,F,24h,1,40.83333333,Remove,
G.006,high temp,G,M,24h,1,46.71666667,Remove,
G.007,high temp,G,M,48h,1,58.81666667,Use,3.255
G.008,high temp,G,F,24h,1,45.41666667,Remove,
G.009,high temp,G,M,24h,1,48.38333333,Remove,
G.010,high temp,G,M,24h,1,NA,Remove,
G.011,high temp,G,F,24h,1,43.78333333,Remove,
G.012,high temp,G,F,24h,1,50.03333333,Remove,
G.013,high temp,G,F,24h,1,59.1,Remove,
G.014,high temp,G,F,24h,1,49.03333333,Remove,
G.015,high temp,G,M,24h,1,56.46666667,Remove,
G.016,high temp,G,F,48h,1,47.3,Use,4.355
G.017,high temp,G,F,48h,1,56.25,Use,3.885
G.018,high temp,G,M,48h,1,53.2,Use,2.99
G.019,high temp,G,F,48h,1,53.83333333,Use,4.455
G.020,high temp,G,M,48h,1,43.3,Use,3.96
H.001,high temp,H,M,24h,1,47.06666667,Remove,
H.002,high temp,H,F,24h,1,37.83333333,Remove,
H.003,high temp,H,M,24h,1,40.46666667,Remove,
H.004,high temp,H,M,24h,1,54.51666667,Remove,
H.005,high temp,H,F,48h,1,52.56666667,Use,4.845
H.006,high temp,H,F,48h,1,60.76666667,Use,4.87
H.007,high temp,H,F,48h,1,58.45,Use,3.735
H.008,high temp,H,M,48h,1,42.83333333,Use,2.515
H.009,high temp,H,M,24h,1,39.61666667,Remove,
H.010,high temp,H,F,48h,1,51.25,Use,3.465
H.011,high temp,H,F,24h,1,55.06666667,Remove,
H.012,high temp,H,M,24h,1,44.03333333,Remove,
H.013,high temp,H,M,24h,1,55.25,Remove,
H.014,high temp,H,F,24h,1,42.66666667,Remove,
H.015,high temp,H,F,24h,1,49.4,Remove,
H.016,high temp,H,F,24h,1,52.18333333,Remove,
H.017,high temp,H,F,24h,1,58.86666667,Remove,
H.018,high temp,H,M,24h,1,52.56666667,Remove,
H.019,high temp,H,M,24h,1,59.35,Remove,
H.020,high temp,H,M,48h,1,42.01666667,Use,3.45
H.021,high temp,H,F,48h,1,54.83333333,Use,4.25
H.022,high temp,H,M,48h,1,42.63333333,Use,3.245
H.023,high temp,H,F,48h,1,44.56666667,Use,1.98
H.024,high temp,H,M,24h,1,40.43333333,Remove,
H.025,high temp,H,F,48h,1,44.75,Use,2.405
H.026,high temp,H,F,24h,1,42.66666667,Remove,
H.027,high temp,H,F,24h,1,41.56666667,Remove,
I.001,control,I,M,48h,2,43.96666667,Use,3.455
I.002,control,I,M,48h,2,46.31666667,Use,3.335
I.003,control,I,M,96h,2,38.76666667,Remove,
