Sample,Treatment,Replicate,Sex,TimeSinceEclosed,Exp.Round,WingLength,Kdtime,TotalReads,MappedReads,MappedReadsPercent,MeanDepth,ForwardStrand,ForwardStrandPercent,ReverseStrand,ReverseStrandPercent,FailedQCPercent,DuplicatesPercent,PairedEndReads,PairedEndReadsPercent,ProperPairs,ProperPairsPercent,BothPairsMapped,BothPairsMappedPercent,Read1,Read2,Singletons,SingletonsPercent,HighLow
E-010,control,E,F,48h,1,3.145,43.08333333,88972171,87143349,97.94%,9.26411,44915568,50.48%,44056603,49.52%,0%,0%,88972171,100%,60005399,67.44%,86260773,96.95%,144445247,244526924,882576,0.99%,Low
E-011,control,E,F,48h,1,3.155,59.4,91180800,89782522,98.47%,9.56893,45849504,50.28%,45331296,49.72%,0%,0%,91180800,100%,61786259,67.76%,88964650,97.57%,145530685,245650115,817872,0.90%,High
E-012,control,E,F,48h,1,3.089,59.95,123080899,121155283,98.44%,12.9138,61867838,50.27%,61213061,49.73%,0%,0%,123080899,100%,83521951,67.86%,120062893,97.55%,161451591,261629308,1092390,0.89%,High
E-013,control,E,M,48h,1,2.566,54.96666667,106645608,105218864,98.66%,11.1436,53635297,50.29%,53010311,49.71%,0%,0%,106645608,100%,77829009,72.98%,104435822,97.93%,153238988,253406620,783042,0.73%,High
E-015,control,E,F,48h,1,3.123,58.33333333,76974036,76068315,98.82%,8.10408,38679700,50.25%,38294336,49.75%,0%,0%,76974036,100%,56253212,73.08%,75526429,98.12%,138427570,238546466,541886,0.70%,High
E-018,control,E,F,48h,1,3.227,49.91666667,74255290,73386833,98.83%,7.80474,37291764,50.22%,36963526,49.78%,0%,0%,74255290,100%,54245113,73.05%,72843352,98.10%,137052944,237202346,543481,0.73%,High
E-019,control,E,F,48h,1,3.043,51.56666667,74088272,73098710,98.66%,7.79693,37237899,50.26%,36850373,49.74%,0%,0%,74088272,100%,51881776,70.03%,72497266,97.85%,136999736,237088536,601444,0.81%,High
E-020,control,E,F,48h,1,3.321,47.51666667,61114834,60299225,98.67%,6.41802,30728240,50.28%,30386594,49.72%,0%,0%,61114834,100%,44065460,72.10%,59820464,97.88%,130518926,230595908,478761,0.78%,Low
E-022,control,E,M,48h,1,3.122,44.66666667,95228421,94051054,98.76%,10.0183,47849840,50.25%,47378581,49.75%,0%,0%,95228421,100%,69108548,72.57%,93384988,98.06%,147553937,247674484,666066,0.70%,Low
E-023,control,E,F,48h,1,3.128,57,102024988,100732176,98.73%,10.6267,51307037,50.29%,50717951,49.71%,0%,0%,102024988,100%,75702488,74.20%,100037451,98.05%,150937729,251087259,694725,0.68%,High
