Chromosome,Source,Feature,Start,End,Score,Strand,Frame,TranscriptID
3_RagTag,GeneMark.hmm3,gene,230184659,230185040,.,+,.,gene_id file_2_29771_g; transcript_id file_2_29771_t;
1_RagTag,GeneMark.hmm3,gene,125007216,125007542,.,-,.,gene_id file_2_4441_g; transcript_id file_2_4441_t;
ptg000281l,AUGUSTUS,gene,1195929,1201739,0.05,-,.,g27499
1_RagTag,AUGUSTUS,gene,60158341,60158741,0.34,+,.,g1999
3_RagTag,AUGUSTUS,gene,251128916,251139381,0.67,+,.,g24115
3_RagTag,AUGUSTUS,gene,274194413,274207086,0.1,+,.,g24651
1_RagTag,AUGUSTUS,gene,223433309,223434354,0.5,-,.,g5587
2_RagTag,GeneMark.hmm3,gene,39501575,39502004,.,+,.,gene_id file_2_11512_g; transcript_id file_2_11512_t;
2_RagTag,AUGUSTUS,gene,211199377,211213364,0.07,+,.,g12990
1_RagTag,AUGUSTUS,gene,305051537,305056946,0.08,+,.,g7730
3_RagTag,AUGUSTUS,gene,60545938,60547112,0.06,-,.,g19971
2_RagTag,AUGUSTUS,gene,305165587,305168029,0.33,-,.,g14769
1_RagTag,AUGUSTUS,gene,134290298,134303172,0.16,-,.,g3631
2_RagTag,AUGUSTUS,gene,344797451,344808170,0.08,+,.,g15720
1_RagTag,AUGUSTUS,gene,16807330,16850082,0.05,+,.,g596
ptg000604l,AUGUSTUS,gene,184970,186383,0.53,+,.,g27863
3_RagTag,AUGUSTUS,gene,80396089,80408752,0.04,-,.,g20468
2_RagTag,AUGUSTUS,gene,107801672,107803562,0.62,-,.,g10960
3_RagTag,AUGUSTUS,gene,365425701,365432051,0.67,+,.,g26974
2_RagTag,AUGUSTUS,gene,415080720,415082658,0.23,-,.,g17407
ptg000277l,AUGUSTUS,gene,242339,242853,0.47,-,.,g27464
3_RagTag,AUGUSTUS,gene,305818467,305819214,0.2,+,.,g25458
3_RagTag,AUGUSTUS,gene,336183301,336196727,0.11,+,.,g26220
2_RagTag,AUGUSTUS,gene,137541059,137544086,0.32,+,.,g11527
2_RagTag,AUGUSTUS,gene,133682770,133697182,0.33,+,.,g11449
3_RagTag,AUGUSTUS,gene,166308939,166312548,0.36,-,.,g22401
3_RagTag,AUGUSTUS,gene,129766307,129774531,0.2,+,.,g21644
1_RagTag,AUGUSTUS,gene,313618864,313620185,0.57,-,.,g8004
3_RagTag,AUGUSTUS,gene,368878537,368878897,0.15,-,.,g27087
3_RagTag,AUGUSTUS,gene,369989604,369993178,0.05,-,.,g27114
1_RagTag,AUGUSTUS,gene,188713115,188733377,0.13,-,.,g4644
2_RagTag,AUGUSTUS,gene,276885271,276885934,0.73,-,.,g14180
1_RagTag,GeneMark.hmm3,gene,208708768,208709198,.,-,.,gene_id file_2_6532_g; transcript_id file_2_6532_t;
2_RagTag,AUGUSTUS,gene,133550343,133566260,0.11,-,.,g11445
3_RagTag,AUGUSTUS,gene,48502952,48539839,0.24,+,.,g19684
3_RagTag,AUGUSTUS,gene,37019729,37026783,0.15,-,.,g19376
2_RagTag,AUGUSTUS,gene,409660317,409662347,0.32,+,.,g17208
1_RagTag,AUGUSTUS,gene,91384598,91394537,0.02,+,.,g2856
2_RagTag,AUGUSTUS,gene,426903532,426904290,0.54,-,.,g17743
1_RagTag,AUGUSTUS,gene,181704015,181722423,0.19,+,.,g4488
2_RagTag,AUGUSTUS,gene,277016107,277016763,0.29,+,.,g14193
2_RagTag,AUGUSTUS,gene,27027368,27035217,0.04,+,.,g8780
2_RagTag,AUGUSTUS,gene,433882230,433883359,0.14,-,.,g17961
1_RagTag,AUGUSTUS,gene,217141375,217192868,0.01,-,.,g5392
2_RagTag,AUGUSTUS,gene,341604257,341680800,0.01,-,.,g15647
1_RagTag,AUGUSTUS,gene,113238804,113257558,0.16,-,.,g3303
3_RagTag,AUGUSTUS,gene,220616472,220618427,1,+,.,g23471
2_RagTag,AUGUSTUS,gene,352047228,352047557,0.97,-,.,g15897
3_RagTag,AUGUSTUS,gene,36616485,36617388,0.07,+,.,g19367
3_RagTag,AUGUSTUS,gene,226253950,226255656,0.92,+,.,g23589
3_RagTag,AUGUSTUS,gene,90850688,90852349,0.35,+,.,g20741
ptg000043l,AUGUSTUS,gene,665080,679613,0.32,-,.,g27312
2_RagTag,AUGUSTUS,gene,293949361,293971868,0.48,-,.,g14539
1_RagTag,AUGUSTUS,gene,32420764,32432324,0.1,-,.,g1154
1_RagTag,AUGUSTUS,gene,185025603,185028088,0.27,+,.,g4559
3_RagTag,AUGUSTUS,gene,278448460,278449254,0.33,-,.,g24747
2_RagTag,AUGUSTUS,gene,225977726,226005963,0.66,-,.,g13207
2_RagTag,AUGUSTUS,gene,404764005,404764744,0.33,+,.,g17097
2_RagTag,AUGUSTUS,gene,424545499,424551004,0.27,+,.,g17655
2_RagTag,AUGUSTUS,gene,426301251,426302492,0.81,+,.,g17726
3_RagTag,AUGUSTUS,gene,324857929,324901720,0.06,+,.,g25940
3_RagTag,AUGUSTUS,gene,218863426,218866811,0.29,+,.,g23450
1_RagTag,AUGUSTUS,gene,174859238,174860311,0.31,-,.,g4386
3_RagTag,AUGUSTUS,gene,279620216,279623295,0,-,.,g24770
1_RagTag,AUGUSTUS,gene,79902664,79905061,0.14,-,.,g2545
1_RagTag,AUGUSTUS,gene,176719484,176721795,0.1,+,.,g4416
1_RagTag,AUGUSTUS,gene,7526736,7554101,0.01,+,.,g238
1_RagTag,AUGUSTUS,gene,257023400,257030034,0.35,-,.,g6463
1_RagTag,AUGUSTUS,gene,278109507,278110228,0.25,+,.,g6893
2_RagTag,AUGUSTUS,gene,353184184,353188953,0.62,+,.,g15927
ptg000453l,AUGUSTUS,gene,193518,202441,0.32,+,.,g27662
3_RagTag,AUGUSTUS,gene,280599506,280603695,0.24,-,.,g24789
2_RagTag,GeneMark.hmm3,gene,141532344,141533472,.,-,.,gene_id file_2_14618_g; transcript_id file_2_14618_t;
1_RagTag,AUGUSTUS,gene,235450242,235472639,0.06,-,.,g6013
3_RagTag,AUGUSTUS,gene,14107620,14116186,0.21,+,.,g18669
2_RagTag,AUGUSTUS,gene,6017839,6033834,0.2,-,.,g8213
1_RagTag,AUGUSTUS,gene,199882409,199883149,0.73,+,.,g4892
1_RagTag,AUGUSTUS,gene,258450970,258452021,0.61,-,.,g6497
2_RagTag,AUGUSTUS,gene,43504786,43505187,0.88,-,.,g9235
3_RagTag,AUGUSTUS,gene,372822968,372824959,0.81,-,.,g27202
2_RagTag,AUGUSTUS,gene,47250720,47319996,0.05,-,.,g9321
2_RagTag,GeneMark.hmm3,gene,308082707,308083300,.,+,.,gene_id file_2_18822_g; transcript_id file_2_18822_t;
2_RagTag,AUGUSTUS,gene,177365128,177365994,0.06,-,.,g12335
2_RagTag,AUGUSTUS,gene,199079769,199097130,0.01,-,.,g12787
3_RagTag,AUGUSTUS,gene,24700043,24700703,0.95,+,.,g19004
2_RagTag,AUGUSTUS,gene,107758695,107768356,0.37,+,.,g10958
3_RagTag,AUGUSTUS,gene,249158056,249158521,0.69,-,.,g24062
2_RagTag,GeneMark.hmm3,gene,33111843,33112588,.,-,.,gene_id file_2_11357_g; transcript_id file_2_11357_t;
3_RagTag,AUGUSTUS,gene,281762633,281819121,0.04,+,.,g24805
1_RagTag,AUGUSTUS,gene,212648767,212651901,0.27,-,.,g5256
1_RagTag,AUGUSTUS,gene,78011066,78011506,1,+,.,g2481
2_RagTag,AUGUSTUS,gene,208811494,208842638,0.01,+,.,g12961
1_RagTag,AUGUSTUS,gene,201770525,201784460,0.34,-,.,g4939
2_RagTag,AUGUSTUS,gene,33123342,33152847,0.03,+,.,g8985
